argomento,codice,domanda,opzione_a,opzione_b,opzione_c,opzione_d,corretta,riferimento
Primo Soccorso,PS037,Il 118 in Italia è destinato principalmente a quale servizio?,Manutenzione elettrica,Polizia locale,Emergenza sanitaria,Informazioni ferroviarie,C,"Ministero della Salute, 112 e 118"
Primo Soccorso,PS038,Scenario allarme: quale tra le seguenti affermazioni è corretta? Il 118 in Italia è destinato principalmente a quale servizio?,Emergenza sanitaria,Informazioni ferroviarie,Manutenzione elettrica,Polizia locale,A,"Ministero della Salute, 112 e 118"
Primo Soccorso,PS039,Quale informazione è essenziale comunicare per prima alla centrale?,Marca del telefono,Luogo esatto dell’evento,Nome del medico di famiglia,Contratto di lavoro,B,"Ministero della Salute, corretto uso 118"
Primo Soccorso,PS040,Scenario allarme: quale tra le seguenti affermazioni è corretta? Quale informazione è essenziale comunicare per prima alla centrale?,Nome del medico di famiglia,Contratto di lavoro,Marca del telefono,Luogo esatto dell’evento,D,"Ministero della Salute, corretto uso 118"
Primo Soccorso,PS041,Durante la chiamata di emergenza bisogna indicare anche cosa?,Numero e condizioni delle persone coinvolte,Solo il nome dell’azienda,Soltanto l’orario di lavoro,La prognosi definitiva,A,"Ministero della Salute, corretto uso 118"
Primo Soccorso,PS042,Scenario allarme: quale tra le seguenti affermazioni è corretta? Durante la chiamata di emergenza bisogna indicare anche cosa?,Soltanto l’orario di lavoro,La prognosi definitiva,Numero e condizioni delle persone coinvolte,Solo il nome dell’azienda,C,"Ministero della Salute, corretto uso 118"
Primo Soccorso,PS043,Quando si può chiudere la chiamata con la centrale operativa?,Subito dopo aver detto l’indirizzo,Quando arriva un collega,Dopo un minuto esatto,Quando lo indica l’operatore,D,"Ministero della Salute, corretto uso 118"
Primo Soccorso,PS044,Scenario allarme: quale tra le seguenti affermazioni è corretta? Quando si può chiudere la chiamata con la centrale operativa?,Dopo un minuto esatto,Quando lo indica l’operatore,Subito dopo aver detto l’indirizzo,Quando arriva un collega,B,"Ministero della Salute, corretto uso 118"
Primo Soccorso,PS045,Perché è utile inviare qualcuno ad accogliere l’ambulanza?,Per impedire l’accesso ai sanitari,Per spostare l’infortunato,Per guidare rapidamente i soccorritori sul luogo,Per firmare una diagnosi,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS046,Scenario allarme: quale tra le seguenti affermazioni è corretta? Perché è utile inviare qualcuno ad accogliere l’ambulanza?,Per guidare rapidamente i soccorritori sul luogo,Per firmare una diagnosi,Per impedire l’accesso ai sanitari,Per spostare l’infortunato,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS047,Cosa va riferito se sono presenti rischi specifici come sostanze chimiche o elettricità?,Unicamente il numero dei dipendenti,La natura del pericolo e le misure già adottate,Solo il nome commerciale dell’azienda,"Nulla, non è rilevante",B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS048,Scenario allarme: quale tra le seguenti affermazioni è corretta? Cosa va riferito se sono presenti rischi specifici come sostanze chimiche o elettricità?,Solo il nome commerciale dell’azienda,"Nulla, non è rilevante",Unicamente il numero dei dipendenti,La natura del pericolo e le misure già adottate,D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS049,In attesa dei soccorsi è corretto seguire le istruzioni telefoniche dell’operatore?,"Sì, mantenendo il telefono disponibile","No, mai",Solo se è presente un medico aziendale,Solo dopo aver letto il DVR,A,ERC Guidelines 2025; Ministero della Salute
Primo Soccorso,PS050,Scenario allarme: quale tra le seguenti affermazioni è corretta? In attesa dei soccorsi è corretto seguire le istruzioni telefoniche dell’operatore?,Solo se è presente un medico aziendale,Solo dopo aver letto il DVR,"Sì, mantenendo il telefono disponibile","No, mai",C,ERC Guidelines 2025; Ministero della Salute
Primo Soccorso,PS051,Una persona non risponde e respira in modo anomalo: cosa bisogna sospettare?,Semplice sonno,Solo ipotermia,Frattura isolata,Arresto cardiaco,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS052,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Una persona non risponde e respira in modo anomalo: cosa bisogna sospettare?,Frattura isolata,Arresto cardiaco,Semplice sonno,Solo ipotermia,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS053,Il gasping o respiro agonico deve essere considerato come?,Segno certo di ripresa,Motivo per rimandare l’allarme,Respiro anomalo compatibile con arresto cardiaco,Respirazione normale,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS054,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Il gasping o respiro agonico deve essere considerato come?,Respiro anomalo compatibile con arresto cardiaco,Respirazione normale,Segno certo di ripresa,Motivo per rimandare l’allarme,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS055,Quando iniziare le compressioni toraciche nell’adulto?,Dopo dieci minuti,Se è incosciente e non respira normalmente,Solo quando arriva l’ambulanza,Se lamenta dolore ma è vigile,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS056,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Quando iniziare le compressioni toraciche nell’adulto?,Solo quando arriva l’ambulanza,Se lamenta dolore ma è vigile,Dopo dieci minuti,Se è incosciente e non respira normalmente,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS057,Dove si posizionano le mani per le compressioni nell’adulto?,"Al centro del torace, sulla metà inferiore dello sterno",Sull’addome,Sul lato sinistro del collo,Sulle costole inferiori,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS058,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Dove si posizionano le mani per le compressioni nell’adulto?,Sul lato sinistro del collo,Sulle costole inferiori,"Al centro del torace, sulla metà inferiore dello sterno",Sull’addome,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS059,Qual è la frequenza raccomandata delle compressioni toraciche nell’adulto?,40-60 al minuto,140-160 al minuto,20-30 al minuto,100-120 al minuto,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS060,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Qual è la frequenza raccomandata delle compressioni toraciche nell’adulto?,20-30 al minuto,100-120 al minuto,40-60 al minuto,140-160 al minuto,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS061,Qual è la profondità indicativa delle compressioni nell’adulto?,8-10 cm,12 cm,Almeno 5 cm ma non oltre 6 cm,1 cm,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS062,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Qual è la profondità indicativa delle compressioni nell’adulto?,Almeno 5 cm ma non oltre 6 cm,1 cm,8-10 cm,12 cm,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS063,Dopo ogni compressione il torace deve fare cosa?,Essere sollevato con le mani,Riespandersi completamente,Restare compresso,Essere massaggiato lateralmente,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS064,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Dopo ogni compressione il torace deve fare cosa?,Restare compresso,Essere massaggiato lateralmente,Essere sollevato con le mani,Riespandersi completamente,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS065,Qual è il rapporto compressioni-ventilazioni per il soccorritore addestrato nell’adulto?,30:2,15:1,5:1,10:5,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS066,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Qual è il rapporto compressioni-ventilazioni per il soccorritore addestrato nell’adulto?,5:1,10:5,30:2,15:1,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS067,"Se il soccorritore non è in grado di ventilare, cosa dovrebbe fare?",Non iniziare alcuna manovra,Attendere passivamente,Dare acqua,Eseguire compressioni toraciche continue,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS068,"Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Se il soccorritore non è in grado di ventilare, cosa dovrebbe fare?",Dare acqua,Eseguire compressioni toraciche continue,Non iniziare alcuna manovra,Attendere passivamente,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS069,Le interruzioni delle compressioni devono essere come?,Frequenti per controllare il polso,Programmate ogni dieci compressioni,Ridotte al minimo,Di almeno un minuto,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS070,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Le interruzioni delle compressioni devono essere come?,Ridotte al minimo,Di almeno un minuto,Frequenti per controllare il polso,Programmate ogni dieci compressioni,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS071,Quando utilizzare il DAE?,Prima di verificare la sicurezza,Appena disponibile,Solo dopo venti minuti di RCP,Solo se la persona è cosciente,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS072,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Quando utilizzare il DAE?,Solo dopo venti minuti di RCP,Solo se la persona è cosciente,Prima di verificare la sicurezza,Appena disponibile,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS073,Durante l’analisi del ritmo da parte del DAE cosa occorre fare?,Non toccare la persona,Continuare le compressioni,Rimuovere gli elettrodi,Sollevare le gambe,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS074,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Durante l’analisi del ritmo da parte del DAE cosa occorre fare?,Rimuovere gli elettrodi,Sollevare le gambe,Non toccare la persona,Continuare le compressioni,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS075,Prima di erogare una scarica con il DAE bisogna assicurarsi che?,La persona sia seduta,Gli elettrodi siano rimossi,Il torace sia bagnato,Nessuno tocchi la persona,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS076,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Prima di erogare una scarica con il DAE bisogna assicurarsi che?,Il torace sia bagnato,Nessuno tocchi la persona,La persona sia seduta,Gli elettrodi siano rimossi,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS077,Dopo una scarica del DAE cosa si fa normalmente?,Si somministra acqua,Si rimuove il DAE,Si riprende subito la RCP seguendo i comandi,Si attende cinque minuti,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS078,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Dopo una scarica del DAE cosa si fa normalmente?,Si riprende subito la RCP seguendo i comandi,Si attende cinque minuti,Si somministra acqua,Si rimuove il DAE,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS079,"Se il DAE indica che la scarica non è consigliata, cosa si fa?",Si mette subito in piedi la persona,Si riprende la RCP seguendo le istruzioni,Si spegne e si abbandona la persona,Si eroga manualmente una scarica,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS080,"Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Se il DAE indica che la scarica non è consigliata, cosa si fa?",Si spegne e si abbandona la persona,Si eroga manualmente una scarica,Si mette subito in piedi la persona,Si riprende la RCP seguendo le istruzioni,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS081,"Su un torace bagnato, prima di applicare gli elettrodi, cosa bisogna fare?",Asciugare rapidamente la zona di applicazione,Versare altra acqua,Applicare gli elettrodi sui vestiti,Rinunciare sempre al DAE,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS082,"Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Su un torace bagnato, prima di applicare gli elettrodi, cosa bisogna fare?",Applicare gli elettrodi sui vestiti,Rinunciare sempre al DAE,Asciugare rapidamente la zona di applicazione,Versare altra acqua,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS083,"Se un cerotto farmacologico ostacola il punto dell’elettrodo, cosa fare?",Applicare l’elettrodo sopra il cerotto,Tagliare il cavo del DAE,Bagnare il cerotto,"Rimuoverlo con protezione, asciugare e applicare l’elettrodo",D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS084,"Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Se un cerotto farmacologico ostacola il punto dell’elettrodo, cosa fare?",Bagnare il cerotto,"Rimuoverlo con protezione, asciugare e applicare l’elettrodo",Applicare l’elettrodo sopra il cerotto,Tagliare il cavo del DAE,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS085,Quando si interrompe la RCP?,Dopo la prima scarica,Quando arriva un collega non formato,"Quando la persona riprende segni di vita, arrivano i soccorsi o il soccorritore è esausto/pericolo",Dopo due minuti esatti,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS086,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Quando si interrompe la RCP?,"Quando la persona riprende segni di vita, arrivano i soccorsi o il soccorritore è esausto/pericolo",Dopo due minuti esatti,Dopo la prima scarica,Quando arriva un collega non formato,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS087,Una breve attività simil-convulsiva all’esordio può essere segno di cosa?,Ustione chimica,Arresto cardiaco,Guarigione,Frattura della mano,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS088,Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Una breve attività simil-convulsiva all’esordio può essere segno di cosa?,Guarigione,Frattura della mano,Ustione chimica,Arresto cardiaco,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS089,"Per valutare il respiro di una persona incosciente, cosa è importante riconoscere?",Respirazione normale rispetto a gasping o respiro lento e faticoso,Solo il rumore dei vestiti,Il colore degli occhi,La temperatura della stanza,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS090,"Scenario bls-dae: quale tra le seguenti affermazioni è corretta? Per valutare il respiro di una persona incosciente, cosa è importante riconoscere?",Il colore degli occhi,La temperatura della stanza,Respirazione normale rispetto a gasping o respiro lento e faticoso,Solo il rumore dei vestiti,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS091,Una persona con ostruzione lieve delle vie aeree che tossisce efficacemente va incoraggiata a?,Bere rapidamente,Sdraiarsi supina,Ricevere subito compressioni toraciche,Continuare a tossire,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS092,Scenario ostruzione: quale tra le seguenti affermazioni è corretta? Una persona con ostruzione lieve delle vie aeree che tossisce efficacemente va incoraggiata a?,Ricevere subito compressioni toraciche,Continuare a tossire,Bere rapidamente,Sdraiarsi supina,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS093,Quale segno suggerisce un’ostruzione grave delle vie aeree?,Starnuto isolato,Dolore a un dito,Incapacità di parlare o tossire efficacemente,Tosse forte e parola normale,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS094,Scenario ostruzione: quale tra le seguenti affermazioni è corretta? Quale segno suggerisce un’ostruzione grave delle vie aeree?,Incapacità di parlare o tossire efficacemente,Tosse forte e parola normale,Starnuto isolato,Dolore a un dito,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS095,"Nell’adulto cosciente con ostruzione grave, quale sequenza è indicata?",Compressione del collo,Fino a 5 colpi dorsali e poi fino a 5 spinte addominali,Solo acqua e riposo,Dieci ventilazioni consecutive,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS096,"Scenario ostruzione: quale tra le seguenti affermazioni è corretta? Nell’adulto cosciente con ostruzione grave, quale sequenza è indicata?",Solo acqua e riposo,Dieci ventilazioni consecutive,Compressione del collo,Fino a 5 colpi dorsali e poi fino a 5 spinte addominali,D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS097,Dove si applicano i colpi dorsali nell’ostruzione grave?,Tra le scapole,Sulla nuca,Sulla zona lombare,Sul torace anteriore,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS098,Scenario ostruzione: quale tra le seguenti affermazioni è corretta? Dove si applicano i colpi dorsali nell’ostruzione grave?,Sulla zona lombare,Sul torace anteriore,Tra le scapole,Sulla nuca,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS099,"Se l’ostruzione non si risolve, colpi dorsali e spinte addominali vanno?",Sospesi definitivamente,Sostituiti da acqua,Eseguiti solo una volta,"Alternati in cicli, attivando i soccorsi",D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS100,"Scenario ostruzione: quale tra le seguenti affermazioni è corretta? Se l’ostruzione non si risolve, colpi dorsali e spinte addominali vanno?",Eseguiti solo una volta,"Alternati in cicli, attivando i soccorsi",Sospesi definitivamente,Sostituiti da acqua,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS101,"Se la persona con ostruzione diventa incosciente, cosa si deve fare?",Darle cibo morbido,Sollevare entrambe le braccia e attendere,Adagiarla con cautela e iniziare la RCP,Lasciarla seduta,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS102,"Scenario ostruzione: quale tra le seguenti affermazioni è corretta? Se la persona con ostruzione diventa incosciente, cosa si deve fare?",Adagiarla con cautela e iniziare la RCP,Lasciarla seduta,Darle cibo morbido,Sollevare entrambe le braccia e attendere,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS103,È corretto esplorare alla cieca la bocca con le dita?,Solo dopo aver dato acqua,"No, si rimuove solo un oggetto chiaramente visibile","Sì, sempre e profondamente",Solo usando una penna,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS104,Scenario ostruzione: quale tra le seguenti affermazioni è corretta? È corretto esplorare alla cieca la bocca con le dita?,"Sì, sempre e profondamente",Solo usando una penna,Solo dopo aver dato acqua,"No, si rimuove solo un oggetto chiaramente visibile",D,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS105,Dopo spinte addominali efficaci è opportuno cosa?,Far valutare la persona per possibili lesioni o materiale residuo,Riprendere subito il lavoro pesante,Somministrare sedativi,Ignorare ogni sintomo,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS106,Scenario ostruzione: quale tra le seguenti affermazioni è corretta? Dopo spinte addominali efficaci è opportuno cosa?,Somministrare sedativi,Ignorare ogni sintomo,Far valutare la persona per possibili lesioni o materiale residuo,Riprendere subito il lavoro pesante,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS107,"Nella donna in gravidanza avanzata con ostruzione grave, le spinte addominali sono sostituite da?",Compressioni sulle gambe,Massaggio del collo,Nessuna manovra,Spinte toraciche,D,"ERC Guidelines 2025, Adult BLS"
